focal_species	other_species	ortholog_number	focal_transcript	other_transcript	positive_selection	dN	dS	dN/dS	focal_gene_ID	LFC_abdomen	FDR_pval_abdomen	LFC_head+thorax	FDR_pval_head+thorax	level_most_dist_ortholog
C_maculatus	B_siliquastri	68	g1512.t1	BRAKERILHT00000017120	False	0.016	0.7578	0.02111375032990235	g1512	0.600284814251934	4.77798153728737e-08	-0.226180290102482	0.0743388539122079	5
C_maculatus	B_siliquastri	249	g1545.t1	BRAKERILHT00000018004	True	0.0255	0.7317	0.034850348503485035	g1545	-1.09804843161131	9.37577394063345e-24	0.158968167415762	0.155559918720652	5
C_maculatus	B_siliquastri	95	g1602.t1	BRAKERILHT00000017735	False	0.0663	0.801	0.08277153558052433	g1602	0.849135599195364	0.0690177594198081	0.444225235612465	0.334316100438934	5
C_maculatus	B_siliquastri	148	g1659.t1	BRAKERILHT00000017631	False	0.0175	0.5357	0.032667537801008034	g1659	0.215043264591111	0.272767694788379	-1.01327469568275	4.29622417038393e-07	5
C_maculatus	B_siliquastri	311	g1504.t1	BRAKERILHT00000017663	False	0.0072	0.3516	0.020477815699658702	g1504	-0.284344668530138	0.0189781953490125	-1.00793988110626	1.49473947873607e-16	5
C_maculatus	B_siliquastri	354	g1397.t1	BRAKERILHT00000017431	False	0.0423	0.4928	0.08583603896103895	g1397	0.450439970351306	0.000144254348551629	0.28213876585678	0.045456864957317	5
C_maculatus	B_siliquastri	369	g1452.t1	BRAKERILHT00000017269	False	0.0118	0.3683	0.03203909856095574	g1452	NaN	1	NaN	1	2
C_maculatus	B_siliquastri	289	g2924.t1	BRAKERILHT00000017284	True	0.183	0.8218	0.22268191774154295	g2924	1.68366424966655	5.10987104596382e-36	-0.00741679167621388	0.974869270381555	5
C_maculatus	B_siliquastri	175	g1739.t1	BRAKERILHT00000017654	False	0.0028	0.1996	0.014028056112224449	g1739	0.531735897022674	2.73182852773753e-08	-0.128516194530311	0.267101035074818	5
C_maculatus	B_siliquastri	130	g1436.t1	BRAKERILHT00000017554	False	0.0953	0.9863	0.09662374531075738	g1436	0.936470925779477	6.03873218766668e-28	-1.29835707918671	4.78452550667776e-35	5
C_maculatus	B_siliquastri	10	g7466.t1	BRAKERILHT00000017029	False	0.0473	1.029	0.045966958211856174	g7466	-1.23166831386195	9.03799381507716e-07	0.379141828602717	0.238002156411692	4
C_maculatus	B_siliquastri	55	g2899.t1	BRAKERILHT00000017135	False	0.0531	0.5714	0.09292964648232412	g2899	0.637230703688285	0.00343602006492657	-0.711138298349017	0.00655854869195986	4
C_maculatus	B_siliquastri	188	g1668.t1	BRAKERILHT00000017255	False	0.0249	0.5254	0.04739246288542063	g1668	1.25386499968997	2.3325281417753e-24	-0.500353369766419	0.00192321556933141	5
C_maculatus	B_siliquastri	274	g2908.t1	BRAKERILHT00000017753	True	0.037	0.8297	0.044594431722309265	g2908	-1.17286224486789	5.1874086061353e-05	0.0851187573108024	0.779499521508015	5
C_maculatus	B_siliquastri	231	g1469.t1	BRAKERILHT00000016988	False	0.0301	0.5905	0.05097375105842506	g1469	0.36332551740086	0.000175606236982708	-0.171699275664016	0.106897884498618	5
C_maculatus	B_siliquastri	308	g1499.t2	BRAKERILHT00000017311	False	0.027	0.9258	0.02916396629941672	g1499	0.364007298705411	0.00155321050070382	0.065858081110965	0.622399202119092	5
C_maculatus	B_siliquastri	250	g1544.t1	BRAKERILHT00000017202	False	0.1217	0.602	0.20215946843853821	g1544	-0.127803004638288	0.159542777659767	0.175204349173554	0.0571303392563633	5
C_maculatus	B_siliquastri	215	g1534.t1	BRAKERILHT00000017666	False	0.0331	0.6918	0.0478461983232148	g1534	-0.418476458867485	0.000487227887532344	-0.0614743195075598	0.666410578268625	5
C_maculatus	B_siliquastri	34	g1583.t1	BRAKERILHT00000017507	False	0.0501	0.6802	0.07365480740958541	g1583	0.424607582379973	6.37486587267827e-06	0.809281837116839	5.10597340870266e-17	5
C_maculatus	B_siliquastri	71	g1628.t1	BRAKERILHT00000017765	True	0.0414	0.3592	0.11525612472160356	g1628	0.514664306365949	0.000103360739999655	0.138368591832106	0.355734337795265	5
